DATE,DEXUSEU
10/2/2017,1.1745
10/3/2017,1.1759
10/4/2017,1.176
10/5/2017,1.1706
10/6/2017,1.1732
10/9/2017,.
10/10/2017,1.1804
10/11/2017,1.1847
10/12/2017,1.184
10/13/2017,1.1837
10/16/2017,1.181
10/17/2017,1.1754
10/18/2017,1.1775
10/19/2017,1.1842
10/20/2017,1.177
10/23/2017,1.1762
10/24/2017,1.1766
10/25/2017,1.1802
10/26/2017,1.17
10/27/2017,1.158
10/30/2017,1.1626
10/31/2017,1.1648
11/1/2017,1.1618
11/2/2017,1.1672
11/3/2017,1.1616
11/6/2017,1.16
11/7/2017,1.1577
11/8/2017,1.1591
11/9/2017,1.1648
11/10/2017,.
11/13/2017,1.1656
11/14/2017,1.1764
11/15/2017,1.1794
11/16/2017,1.1772
11/17/2017,1.1799
11/20/2017,1.1741
11/21/2017,1.1741
11/22/2017,1.1789
11/23/2017,.
11/24/2017,1.1936
11/27/2017,1.1911
11/28/2017,1.1878
11/29/2017,1.1858
11/30/2017,1.1898
12/1/2017,1.191
12/4/2017,1.1848
12/5/2017,1.182
12/6/2017,1.1788
12/7/2017,1.179
12/8/2017,1.1761
12/11/2017,1.1802
12/12/2017,1.1725
12/13/2017,1.1762
12/14/2017,1.1778
12/15/2017,1.1778
12/18/2017,1.1804
12/19/2017,1.1822
12/20/2017,1.1881
12/21/2017,1.1872
12/22/2017,1.1839
12/25/2017,.
12/26/2017,1.1867
12/27/2017,1.1902
12/28/2017,1.1952
12/29/2017,1.2022
