DATE,DEXUSEU
1/1/2021,.
1/4/2021,1.2254
1/5/2021,1.2295
1/6/2021,1.229
1/7/2021,1.2265
1/8/2021,1.2252
1/11/2021,1.2169
1/12/2021,1.2168
1/13/2021,1.2159
1/14/2021,1.2156
1/15/2021,1.2099
1/18/2021,.
1/19/2021,1.2126
1/20/2021,.
1/21/2021,1.2143
1/22/2021,1.2179
1/25/2021,1.2138
1/26/2021,1.2147
1/27/2021,1.2101
1/28/2021,1.2122
1/29/2021,1.2135
2/1/2021,1.207
2/2/2021,1.202
2/3/2021,1.2025
2/4/2021,1.1974
2/5/2021,1.2035
2/8/2021,1.2045
2/9/2021,1.2106
2/10/2021,1.2132
2/11/2021,1.2127
2/12/2021,1.2126
2/15/2021,.
2/16/2021,1.2107
2/17/2021,1.2042
2/18/2021,1.2078
2/19/2021,1.2136
2/22/2021,1.2155
2/23/2021,1.2142
2/24/2021,1.2143
2/25/2021,1.2229
2/26/2021,1.2093
3/1/2021,1.2054
3/2/2021,1.2079
3/3/2021,1.2073
3/4/2021,1.2045
3/5/2021,1.1914
3/8/2021,1.1849
3/9/2021,1.1885
3/10/2021,1.19
3/11/2021,1.1978
3/12/2021,1.1952
3/15/2021,1.1917
3/16/2021,1.1895
3/17/2021,1.1905
3/18/2021,1.1926
3/19/2021,1.1909
3/22/2021,1.1932
3/23/2021,1.1872
3/24/2021,1.1831
3/25/2021,1.1777
3/26/2021,1.1798
3/29/2021,1.1779
3/30/2021,1.1724
3/31/2021,1.1743
4/1/2021,1.1772
4/2/2021,1.1763
4/5/2021,1.181
4/6/2021,1.1852
4/7/2021,1.189
4/8/2021,1.1904
4/9/2021,1.1897
4/12/2021,1.1907
4/13/2021,1.1939
4/14/2021,1.1974
4/15/2021,1.1964
4/16/2021,1.198
4/19/2021,1.2028
4/20/2021,1.2045
4/21/2021,1.2033
4/22/2021,1.2012
4/23/2021,1.2069
4/26/2021,1.2083
4/27/2021,1.2079
4/28/2021,1.2098
4/29/2021,1.211
4/30/2021,1.203
5/3/2021,1.2059
5/4/2021,1.2014
5/5/2021,1.2003
5/6/2021,1.2049
5/7/2021,1.2165
5/10/2021,1.217
5/11/2021,1.2169
5/12/2021,1.2074
5/13/2021,1.207
5/14/2021,1.2141
