DATE,DEXUSEU
1/1/2018,.
1/2/2018,1.205
1/3/2018,1.203
1/4/2018,1.2064
1/5/2018,1.2039
1/8/2018,1.1973
1/9/2018,1.1922
1/10/2018,1.1958
1/11/2018,1.2035
1/12/2018,1.213
1/15/2018,.
1/16/2018,1.2244
1/17/2018,1.2229
1/18/2018,1.2238
1/19/2018,1.2238
1/22/2018,1.223
1/23/2018,1.2277
1/24/2018,1.239
1/25/2018,1.2488
1/26/2018,1.2422
1/29/2018,1.2352
1/30/2018,1.239
1/31/2018,1.2428
2/1/2018,1.2482
2/2/2018,1.2446
2/5/2018,1.2418
2/6/2018,1.2381
2/7/2018,1.2281
2/8/2018,1.2238
2/9/2018,1.2226
2/12/2018,1.2267
2/13/2018,1.2363
2/14/2018,1.2396
2/15/2018,1.2482
2/16/2018,1.2442
2/19/2018,.
2/20/2018,1.2348
2/21/2018,1.2314
2/22/2018,1.2326
2/23/2018,1.2298
2/26/2018,1.2296
2/27/2018,1.2239
2/28/2018,1.2211
3/1/2018,1.2216
3/2/2018,1.2314
3/5/2018,1.233
3/6/2018,1.2415
3/7/2018,1.2397
3/8/2018,1.2314
3/9/2018,1.2326
3/12/2018,1.2318
3/13/2018,1.2398
3/14/2018,1.2362
3/15/2018,1.2321
3/16/2018,1.228
3/19/2018,1.2329
3/20/2018,1.2271
3/21/2018,1.2268
3/22/2018,1.231
3/23/2018,1.236
3/26/2018,1.244
3/27/2018,1.241
3/28/2018,1.2351
3/29/2018,1.2297
3/30/2018,1.232
4/2/2018,1.2288
4/3/2018,1.2261
4/4/2018,1.2292
4/5/2018,1.223
4/6/2018,1.2274
4/9/2018,1.232
4/10/2018,1.2338
4/11/2018,1.2384
4/12/2018,1.232
4/13/2018,1.2322
4/16/2018,1.2373
4/17/2018,1.2345
4/18/2018,1.238
4/19/2018,1.2336
4/20/2018,1.2282
4/23/2018,1.2216
4/24/2018,1.2226
4/25/2018,1.2178
4/26/2018,1.2113
4/27/2018,1.2108
4/30/2018,1.2074
5/1/2018,1.2
5/2/2018,1.1968
5/3/2018,1.197
5/4/2018,1.1946
5/7/2018,1.1927
5/8/2018,1.1863
5/9/2018,1.1852
5/10/2018,1.1896
5/11/2018,1.1951
5/14/2018,1.1976
5/15/2018,1.1864
5/16/2018,1.1788
5/17/2018,1.1798
5/18/2018,1.1775
5/21/2018,1.1768
5/22/2018,1.1783
5/23/2018,1.1693
5/24/2018,1.1729
5/25/2018,1.1666
5/28/2018,.
5/29/2018,1.1551
5/30/2018,1.1664
5/31/2018,1.167
6/1/2018,1.1679
6/4/2018,1.1696
6/5/2018,1.1672
6/6/2018,1.1778
6/7/2018,1.1815
6/8/2018,1.1773
6/11/2018,1.1802
6/12/2018,1.1792
6/13/2018,1.1784
6/14/2018,1.1634
6/15/2018,1.1616
6/18/2018,1.1606
6/19/2018,1.1577
6/20/2018,1.1592
6/21/2018,1.16
6/22/2018,1.163
6/25/2018,1.1694
6/26/2018,1.1675
6/27/2018,1.1588
6/28/2018,1.1582
6/29/2018,1.1677
7/2/2018,1.1604
7/3/2018,1.1653
7/4/2018,.
7/5/2018,1.1697
7/6/2018,1.1738
7/9/2018,1.1744
7/10/2018,1.1728
7/11/2018,1.1722
7/12/2018,1.1692
7/13/2018,1.1667
7/16/2018,1.171
7/17/2018,1.1664
7/18/2018,1.1645
7/19/2018,1.1604
7/20/2018,1.1708
7/23/2018,1.1702
7/24/2018,1.1684
7/25/2018,1.1677
7/26/2018,1.1654
7/27/2018,1.166
7/30/2018,1.1718
7/31/2018,1.1706
8/1/2018,1.1666
8/2/2018,1.1612
8/3/2018,1.1597
8/6/2018,1.1564
8/7/2018,1.1597
8/8/2018,1.1598
8/9/2018,1.1566
8/10/2018,1.1399
8/13/2018,1.1396
8/14/2018,1.1351
8/15/2018,1.1332
8/16/2018,1.1388
8/17/2018,1.141
8/20/2018,1.1438
8/21/2018,1.1534
8/22/2018,1.1595
8/23/2018,1.1567
8/24/2018,1.1625
8/27/2018,1.1676
8/28/2018,1.172
8/29/2018,1.1699
8/30/2018,1.1646
8/31/2018,1.1596
9/3/2018,.
9/4/2018,1.1566
9/5/2018,1.162
9/6/2018,1.1624
9/7/2018,1.1572
9/10/2018,1.1604
9/11/2018,1.1591
9/12/2018,1.1626
9/13/2018,1.1672
9/14/2018,1.1656
9/17/2018,1.1687
9/18/2018,1.1693
9/19/2018,1.1685
9/20/2018,1.1744
9/21/2018,1.1739
9/24/2018,1.1773
9/25/2018,1.177
9/26/2018,1.1758
9/27/2018,1.167
9/28/2018,1.1622
10/1/2018,1.1567
10/2/2018,1.156
10/3/2018,1.1525
10/4/2018,1.1508
10/5/2018,1.1502
10/8/2018,.
10/9/2018,1.1482
10/10/2018,1.1541
10/11/2018,1.1565
10/12/2018,1.1559
10/15/2018,1.1594
10/16/2018,1.1593
10/17/2018,1.154
10/18/2018,1.1494
10/19/2018,1.1513
10/22/2018,1.1467
10/23/2018,1.148
10/24/2018,1.1389
10/25/2018,1.1374
10/26/2018,1.1388
10/29/2018,1.139
10/30/2018,1.1364
10/31/2018,1.1332
11/1/2018,1.1396
11/2/2018,1.1378
11/5/2018,1.1394
11/6/2018,1.1412
11/7/2018,1.1459
11/8/2018,1.1416
11/9/2018,1.1325
11/12/2018,.
11/13/2018,1.1288
11/14/2018,1.1312
11/15/2018,1.1324
11/16/2018,1.1402
11/19/2018,1.1448
11/20/2018,1.1391
11/21/2018,1.1393
11/22/2018,.
11/23/2018,1.1332
11/26/2018,1.1336
11/27/2018,1.1281
11/28/2018,1.1286
11/29/2018,1.1382
11/30/2018,1.1323
12/3/2018,1.1356
12/4/2018,1.1345
12/5/2018,.
12/6/2018,1.1374
12/7/2018,1.139
12/10/2018,1.1368
12/11/2018,1.1314
12/12/2018,1.1362
12/13/2018,1.1358
12/14/2018,1.13
12/17/2018,1.1339
12/18/2018,1.1364
12/19/2018,1.1422
12/20/2018,1.1432
12/21/2018,1.1402
12/24/2018,.
12/25/2018,.
12/26/2018,1.1408
12/27/2018,1.1412
12/28/2018,1.1445
12/31/2018,1.1456
